Chinese term,English term,Synonyms,Chinese synonyms
脾胃不和证,Disharmony between the spleen and stomach pattern,Disharmony of the middle jiao pattern; Qi stagnation of the spleen and stomach pattern; Qi stagnation of the middle jiao pattern,中焦不和证；脾胃气滞证；中焦气滞证
胃肠🗎热证,Damp heat in the stomach and intestines pattern,,
胃肠实热证,Excess heat in the stomach and intestines pattern,Heat accumulating in the stomach and intestines pattern,胃肠积热证
胃肠气滞证,Qi stagnation of the stomach and intestines pattern,,
胃肠瘀滞证,Blood stasis in the stomach and intestines pattern,Stasis obstructing the stomach and intestines pattern,瘀滞胃肠证
痰🗎中阻证,Phlegm dampness accumulating in the spleen pattern,Phlegm turbidity obstructing the middle jiao; Phlegm fluid obstructing the middle jiao; Phelgm-dampness accumulating in the spleen pattern,痰浊中阻证；痰饮中阻证；痰🗎蕴脾证
肝系证类,Patterns of the liver system,Liver system patterns,
肝阴虚证,Liver yin deficiency pattern,,
肝血虚证,Liver blood deficiency pattern,Liver blood deficiency pattern; Insufficiency of liver blood,
肝气虚证,Liver qi deficiency pattern,Liver yang insufficiency pattern,肝阳亏虚证
肝阳上亢证,Hyperactivity of liver yang pattern,Liver yang ascendant hyperactivity pattern; Liver yang disturbing the mind,
肝郁气滞证,Liver qi stagnation pattern,Liver qi stagnation pattern; Liver depression and qi stagnation pattern; Liver meridian stagnated heat pattern; Liver stagnation,肝郁证
肝郁血虚证,Liver qi stagnation with blood deficiency pattern,Liver stagnation pattern,
肝郁血瘀证,Liver qi stagnation with blood stasis pattern,Pattern of liver blood stasis and stagnation; Pattern of liver stasis with qi stagnation; Liver depression and blood stasis pattern,
肝郁阴虚证,Liver qi stagnation with yin deficiency pattern,,
肝瘀化热证,Liver qi stagnation transforming into heat pattern,,
肝血瘀滞证,Liver blood stasis pattern,,肝血瘀阻证
肝郁化火证,Liver qi stagnation transforming into fire pattern,Qi stagnation transforming into fire pattern,气郁化火证
肝郁痰火证,Liver stagnation with phlegm fire pattern,,肝郁痰热证
肝瘀痰结证,Liver stagnation with phlegm retention pattern,,肝瘀痰阻证
肝火上炎证,Upward flaming of liver fire pattern,Liver fire flaming upward pattern; Hyperactivity of liver fire pattern,
肝热动风证,Liver heat stirring wind pattern,Liver heat stirring wind pattern; Pattern of heat stirring liver wind,
肝经风热证,Wind heat affecting the liver meridian pattern,,
肝经🗎热证,Damp heat affecting the liver meridian pattern,Liver meridian damp heat pattern,
肝郁🗎热证,Liver qi stagnation with damp heat retention pattern,Liver stagnation with damp heat pattern,肝滞🗎热证
热毒淤肝证,Heat toxin affecting the liver pattern,Heat toxin retention in the liver pattern,热毒瘀肝证
肝热血瘀证,Liver heat with blood stagnation pattern,,
肝热阴虚证,Liver heat with yin deficiency pattern,,
寒滞肝脉证,Cold retention in the liver meridian pattern,Cold stagnation in liver meridian pattern; Liver cold pattern; Liver meridian cold stagnation pattern; Liver meridian excess cold pattern,寒滞肝经证
肝风内动证,Internal stirring of liver wind pattern,Internal stirring of liver wind; Liver wind stirring the interior pattern,
肝阳化风证,Liver yang transforming into wind pattern,Liver yang transforming into wind pattern,
肝气上逆证,Ascending of liver qi pattern,,
肝气犯脾证,Liver qi affecting the spleen pattern,,
胆气虚证,Gallbladder qi deficiency pattern,,胆气亏虚证
胆实热证,Excess heat in the gallbladder pattern,,
胆热痰扰证,Gallbladder heat with phlegm disturbance pattern,,
胆郁痰扰证,Gallbladder stagnation with phlegm disturbance pattern,,
胆腑虫扰证,Parasitic roundworms disturbing the gallbladder pattern,,
肝胆🗎热证,Damp heat in the liver and gallbladder pattern,,
胆经郁热证,Stagnant heat in the gallbladder meridian pattern,,
肾系证类,Patterns of the kidney system,,
肾虚证,Kidney deficiency pattern,,
肾气虚证,Kidney qi deficiency pattern,Kidney qi depletion pattern; Kidney qi insufficiency,肾气亏虚证
肾气不固证,Kidney qi insecurity pattern,Kidney insecurity,肾虚不固证
肾虚水泛证,Water retention due to kidney deficiency pattern,,肾虚水停证
肾气虚水泛证,Water retention due to kidney qi deficiency pattern,Kidney qi deficiency with water retention pattern; Kidney qi deficiency with water flooding pattern,
肾不纳气证,Kidney failing to absorb qi pattern,Kidney failing to receive qi pattern,
肾阳虚证,Kidney yang deficiency pattern,Kidney yang deficiency with water flooding pattern; Kidney yang deficiency with water retention pattern Life-gate fire depletion pattern Primordial yang deficiency pattern,
肾阴虚证,Kidney yin deficiency pattern,Genuine yin deficiency pattern; Kidney water depletion and deficiency pattern; Primordial yin deficiency pattern,肾阴虚热证
肾精亏虚证,Kidney essence deficiency pattern,Kidney qi/essence deficiency,肾气亏虚证；肾精不足证
肾虚髓亏证,Kidney marrow deficiency pattern,Kidney deficiency with marrow depletion pattern,
肾阴阳两虚证,Deficiency of kidney yin and yang pattern,Kidney yin and yang deficiency pattern,
肾虚寒🗎证,Cold dampness due to kidney deficiency pattern,Cold dampness in the kidney meridian pattern,肾经寒🗎证
🗎热蕴肾证,Damp heat accumulating in the kidney pattern,,
膀胱🗎热证,Damp heat in the urinary bladder pattern,Bladder dampness heat pattern,
膀胱蕴热证,Heat accumulating in the urinary bladder pattern,Bladder heat accumulation pattern; Bladder heat excess pattern Bladder heat retention pattern Excess heat in the urinary bladder,膀胱实热证；膀胱积热证；膀胱蓄热证
太阳蓄水证,Taiyang water retention pattern,Bladder water accumulation pattern; Water amassment in the bladder pattern Water retention in the urinary bladder,膀胱蓄水证
太阳蓄血证,Taiyang blood retention pattern,Blood accumulation in the bladder pattern; Blood and heat build up in the bladder pattern Blood retention in the urinary bladder,膀胱蓄血证
膀胱虚寒证,Deficiency cold of the urinary bladder pattern,Bladder deficiency cold pattern,
膀胱失约证,Qi failing to secure the urinary bladder pattern,,
脏腑兼证类,Patterns involving multiple zang–fu organs,,
心肾不交证,Disharmony between the heart and kidney pattern,Heart and kidney systems disharmony pattern; Yin deficiency of the heart and kidney,心肾阴虚证
心肾阳虚证,Yang deficiency of the heart and kidney pattern,Heart and kidney yang deficiency pattern; Deficiency cold of the heart and kidney,心肾虚寒证
水气凌心证,Water retention affecting the heart pattern,,
心肾气虚证,Qi deficiency of the heart and kidney pattern,Heart and kidney qi deficiency pattern,
心肺气虚证,Qi deficiency of the heart and lung pattern,Heart and lung qi deficiency pattern,
心肺阴虚证,Yin deficiency of the heart and lung pattern,Heart and lung yin deficiency pattern,
心肺阳虚证,Yang deficiency of the heart and lung pattern,,
心肺热盛证,Exuberant heat in the heart and lung pattern,Excess heat/fire hyperactivity in the heart and lung pattern,心肺实热证；心肺火旺证
心脾两虚证,Deficiency of the heart and spleen pattern,Heart and spleen systems deficiency pattern,
心脾气虚证,Qi deficiency of the heart and spleen pattern,Heart and spleen qi deficiency pattern,
心脾阳虚证,Yang deficiency of the heart and spleen pattern,Deficiency cold of the heart and spleen/Heart  and spleen yang deficiency pattern,心脾虚寒证
心脾积热证,Heat accumulating in the heart and spleen pattern,Excess heat in the heart and spleen pattern,心脾实热证
心肝火旺证,Fire hyperactivity of the heart and liver pattern,Excess heat in the heart and liver pattern,心肝实热证；心肝热盛证
心肝血瘀证,Blood stasis in the heart and liver pattern,,
心肝血虚证,Blood deficiency of the heart and liver pattern,Heart and liver blood deficiency pattern,
心肝阴虚证,Yin deficiency of the heart and liver pattern,Heart and liver yin deficiency pattern,
心胆气虚证,Qi deficiency of the heart and gallbladder pattern,Heart and gallbladder qi deficiency pattern,
肝肾两虚证,Deficiency of the liver and kidney pattern,Deficiency of liver blood and kidney essence; Liver and kidney yin deficiency pattern,肝肾亏虚证；肝肾精血亏损证
肝肾阴虚证,Yin deficiency of the liver and kidney pattern,Liver and kidney yin deficiency pattern; Deficiency fire of the liver and kidney,肝肾虚火证
肝脾两虚证,Deficiency of the liver and spleen pattern,,
肝脾不和证,Disharmony between the liver and spleen pattern,Disharmony of liver and spleen systems pattern; Liver depression and spleen deficiency pattern; Imbalance between liver and spleen pattern,
肝旺脾虚证,Liver hyperactivity with spleen deficiency pattern,Liver stagnation with spleen deficiency pattern,肝滞脾虚证；肝郁脾虚证
肝脾🗎热证,Damp heat in the liver and spleen pattern,Damp heat in the middle jiao pattern,中焦🗎热证
肝脾气滞证,Qi stagnation of the liver and spleen pattern,,
肝脾血瘀证,Blood stasis of the liver and spleen pattern,Stasis of the liver and spleen pattern,肝脾瘀滞证
肝胃不和证,Disharmony between the liver and stomach pattern,Disharmony of liver and stomach systems pattern; Liver qi invading the stomach pattern Liver–stomach disharmony pattern Incoordination between the liver and stomach,肝胃不调证
肝胃热盛证,Exuberant heat in the liver and stomach pattern,Heat accumulating in the liver and stomach pattern,肝胃积热证
肝火犯胃证,Liver fire affecting the stomach pattern,Liver fire invading the stomach system pattern,
肝气犯胃证,Liver qi affecting the stomach pattern,Qi stagnation  of the liver and stomach pattern,肝胃气滞证
肝胃阴虚证,Yin deficiency of the liver and stomach pattern,,
肝胃虚寒证,Deficiency cold of the liver and stomach pattern,,
肝火犯肺证,Liver fire affecting the lung pattern,Liver fire invading the lung system pattern; Wood fire tormenting metal pattern,
脾肺两虚证,Deficiency of the spleen and lung pattern,Lung and spleen deficiency pattern; Qi deficiency of the spleen and lung,脾肺气虚证
脾肾阳虚证,Yang deficiency of the spleen and kidney pattern,Spleen and kidney yang deficiency pattern; Deficiency cold of the spleen and kidney,脾肾虚寒证
脾肾气虚证,Qi deficiency of the spleen and kidney pattern,,
脾肾两虚证,Deficiency of the spleen and kidney pattern,Insufficiency of the spleen and kidney pattern,脾肾亏虚证
脾肾不固证,Insecurity of the spleen and kidney pattern,Qi deficiency of the spleen and kidney pattern,脾肾气虚不固证
肺肾阴虚证,Yin deficiency of the lung and kidney pattern,Lung and kidney yin deficiency pattern,
肺肾气虚证,Qi deficiency of the lung and kidney pattern,Insufficient qi of the lung and kidney pattern; Kidney failing to receive qi pattern; Lung–kidney deficiency pattern,
肺肾阳虚证,Yang deficiency of the lung and kidney pattern,,
肺胃风热证,Wind heat affecting the lung and stomach pattern,,
肺胃火热证,Fire heat in the lung and stomach pattern,Exuberant heat in the lung and stomach pattern,肺胃热盛证
肺胃阴虚证,Yin deficiency of the lung and stomach pattern,Fluids insufficiency of the lung and stomach pattern,肺胃津亏证
肺热移肠证,Lung heat transmitting to the large intestine pattern,,
毒陷心肝证,Toxin entering the heart and liver pattern,,
肝肠气滞证,Qi stagnation of the liver and large intestine pattern,,
精室证类,Patterns involving the essence chamber,,
痰阻精室,Phlegm obstructing the essence chamber pattern,,
精室瘀阻证,Stasis obstructing the essence chamber pattern,Stasis/stagnant blood obstructing the essence chamber pattern,瘀阻精室证；瘀血阻滞精室证
胞宫证类,Patterns involving the uterus,,
痰凝胞宫证,Phlegm retention in the uterus pattern,Phlegm obstructing the uterus pattern; Phlegm-dampness obstructing the uterus pattern Phlegm congealment in the uterus pattern Phlegm obstructing the uterus,痰阻胞宫证
胞宫瘀阻证,Blood stasis obstructing the uterus pattern,,瘀阻胞宫证
寒凝胞宫证,Cold retention in the uterus pattern,Cold congealment in the uterus pattern; Cold stagnation in the uterus pattern,
胞宫虚寒证,Deficiency cold in the uterus pattern,Uterine deficiency cold pattern; Uterine yang deficiency pattern; Yang deficiency of the uterus,胞宫阳虚证
胞宫🗎热证,Damp heat in the uterus pattern,Dampness heat in the uterus pattern,
胞宫血热证,Blood heat in the uterus pattern,Blood and heat accumulation in the uterus pattern; Blood heat build up in the uterus pattern; Heat accumulating in the uterus,胞宫积热证
冲任失调证,Disharmony between the Chong and Ren pattern,,冲任不调证
冲任不固证,Insecurity of the Chong and Ren pattern,,
冲任瘀阻证,Blood stasis obstructing the Chong and Ren pattern,,
热入血室证,Heat entering the blood chamber pattern,,
经络证类,Patterns involving the meridians,Meridian and collateral patterns,
风中经络证,Wind attacking the meridians pattern,,
风痰入络证,Wind phlegm entering the meridians pattern,Wind phlegm obstructing the meridians pattern,风痰阻络证
风热阻络证,Wind heat affecting the meridians pattern,Wind heat attacking the meridians pattern,风热中络证
寒滞经络证,Cold retention in the meridians pattern,,
🗎热阻络证,Damp heat obstructing the meridians pattern,,
寒🗎阻络证,Cold dampness obstructing the meridians pattern,Cold dampness entering the meridians pattern,寒🗎入络证
痰🗎阻络证,Phlegm-dampness obstructing the meridians pattern,Phlegm-dampness affecting the limbs/ joints pattern,痰🗎阻痹证
瘀热入络证,Stasis and heat entering the meridians pattern,,
瘀血阻络证,Stagnant blood obstructing the meridians pattern,,
十二正经证类,Patterns of the twelve regular meridians,Main meridian patterns,
手太阴肺经证,Lung meridian pattern,,
手阳明大肠经证,Large intestine meridian pattern,,
足阳明胃经证,Stomach meridian pattern,,
足太阴脾经证,Spleen meridian pattern,,
手少阴心经证,Heart meridian pattern,,
手太阳小肠经证,Small intestine meridian pattern,,
足太阳膀胱经证,Bladder meridian pattern,,
足少阴肾经证,Kidney meridian pattern,,
手少阳三焦经证,Sanjiao meridian pattern,Triple energizer meridian pattern; Triple burner meridian pattern; Triple warmer meridian pattern,
手厥阴心包经证,Pericardium meridian pattern,Heart governor meridian pattern; Heart ruler meridian pattern,
足少阳胆经证,Gallbladder meridian pattern,,
足厥阴肝经证,Liver meridian pattern,,
奇经八脉证类,Patterns of the eight extra meridians,Extra meridian patterns,
督脉证,Du meridian pattern,Governor vessel pattern,
任脉证,Ren meridian pattern,Conception vessel pattern,
冲脉证,Chong meridian pattern,Thoroughfare vessel pattern,
阴维脉证,Yinwei meridian pattern,Yin link vessel pattern,
阳维脉证,Yangwei meridian pattern,Yang link vessel pattern,
带脉证,Dai meridian pattern,Belt vessel pattern,
阳蹻脉证,Yangqiao meridian pattern,Yang heel vessel pattern,
阴蹻脉证,Yinqiao meridian pattern,Yin heel vessel pattern,
三焦证类,Sanjiao patterns,Three region patterns; Triple burner patterns; Triple energizer patterns; Triple energizer stage patterns; Wenbing Sanjiao Patterns,
🗎热弥漫三焦证,Damp heat affecting the three jiao pattern,Damp heat affecting triple energizer pattern,
上焦🗎热证,Damp heat in the upper jiao pattern,Dampness and heat in the upper energizer pattern,
上焦燥热证,Dry heat in the upper jiao pattern,Upper energizer dryness and heat pattern; Upper energizer dryness heat pattern,
中焦🗎热证,Damp heat in the middle jiao pattern,Dampness and heat in the middle energizer pattern; Middle energizer dampness and heat pattern,
中焦积热证,Heat accumulating in the middle jiao pattern,Excess heat in the middle jiao,中焦实热证
下焦🗎热证,Damp heat in the lower jiao pattern,Dampness and heat in the lower energizer pattern,
瘀阻下焦证,Stasis obstructing the lower jiao pattern,Stasis obstructing the lower energizer pattern,
肌肤筋骨证类,"Patterns involving the skin, tendons and bones",,
瘀滞肌肤证,Stasis affecting the skin pattern,,
热邪阻痹证,Heat affecting the bones/joints pattern,,
🗎热阻痹证,Damp heat affecting the bones/joints pattern,,
寒🗎着腰证,Cold dampness affecting the low back pattern,,
六经证类,Six meridians patterns,,
六经病证,Disorders of the six meridians,Six stage patterns Shanghan Patterns,
太阳病证,Taiyang pattern,Early yang stage pattern; Greater yang pattern,
太阳经证,Taiyang meridian pattern,,
太阳中风证,Taiyang wind attack pattern,,
太阳伤寒证,Taiyang cold attack pattern,,
太阳腑证,Taiyang–fu organ pattern,,
阳明病证,Yangming disorders,Middle yang stage pattern; Yang brightness pattern,
阳明经证,Yangming meridian pattern,,
阳明腑实证,Excess Yangming–fu organ pattern,Yangming–fu organ pattern,阳明腑证
少阳病证,Shaoyang pattern,Late yang stage pattern; Lesser yang pattern,
太阴病证,Taiyin pattern,Early yin stage pattern; Greater yin pattern,
少阴病证,Shaoyin pattern,Lesser yin pattern; Middle yin stage pattern,
少阴寒化证,Shaoyin cold transformation pattern,,
少阴热化证,Shaoyin heat transformation pattern,,
厥阴病证,Jueyin pattern,Late Yin stage Pattern; Reverting yin pattern,
卫气营血证类,"Patterns of Wei- defence, qi, Ying nutrients and blood",Four phase patterns; Wenbing aspect patterns,
卫分证,Wei-defence phase pattern,Defence phase pattern; Wei aspect pattern,
🗎遏卫阳证,Dampness blocking Wei-defensive yang pattern,Dampness obstructing the defence yang pattern,
温邪侵袭肺卫证,Toxin attacking the lung defence,Heat attacking the lung defence pattern; Warm attacking the lung defence pattern; Pathogenic warmth affecting the Wei-defence,毒侵肺卫证
气分证,Qi phase pattern,,气分热盛证
热入气分证,Heat entering the qi phase,Heat entering the qi phase pattern,
气分🗎热证,Damp heat in the qi phase,Qi phase dampness and heat pattern,
🗎阻气分证,Dampness obstructing the qi phase,Dampness obstructing the qi phase pattern,
营分证,Ying nutrients phase pattern,Nutrient phase patterns; Ying aspect patterns; Exuberant heat in the Ying nutrients phase,营分热盛证
营卫不和证,Disharmony between the Ying nutrients and Wei-defence pattern,Nutrient qi and defence qi disharmony pattern,
热入营分证,Heat entering the Ying nutrients phase pattern,Heat in the nutrient phase pattern,
热入营血证,Heat entering the Ying nutrients and blood phases pattern,Heat entering the nutrient and blood phase pattern,
热毒入营证,Heat toxin entering the Ying nutrients phase pattern,Exuberance of toxic fire/heat pattern,邪毒炽盛证
血分证,Blood phase pattern,,
热入血分证,Heat entering the blood phase pattern,Excess heat in the blood aspect pattern; Blood and heat pattern,
卫气同病证,Pattern involving both Wei-defence and qi phases,,
气营两燔证,Heat blazing in both qi and Ying phases pattern,,
气血两燔证,Heat blazing in both qi and blood phases pattern,,
热盛动风证,Exuberant heat stirring wind pattern,,
热盛动血证,Exuberant heat moving blood pattern,,
其他证类,Other patterns,,
闭证,Blockage pattern,,
脱证,Collapse pattern,,
外感病类,Externally contracted disorders,External contraction disorders,
外感时令类病,Seasonal disorders,,时令病
感冒,Common cold,Common cold disorder,
时行感冒,Seasonal common cold,Seasonal cold disorder,
暑病,Summer disorders,Summer-heat disorder,
疰夏,"Summer
non-acclimatization",,
中暑,Summer heat stroke,,
暑脱,Summer heat collapse,,
暑厥,Summer heat syncope,,暑闭
暑风,Summer heat convulsion,,暑痉
暑秽病,Summer heat turbidity,Summer heat foulness,暑秽
🗎阻病,Dampness obstruction,,🗎阻；冒🗎；伤🗎
秋燥病,Autumn dryness,,秋燥
温燥病,Warm dryness,,
凉燥病,Cool dryness,,凉燥
伤寒类病,Cold damage,Cold injury; Exogenous febrile disorders,伤寒
温疫类病,Epidemic febrile disorders,,温疫
温病,Warm diseases,,温热病
新感温病,Acute warm diseases,,
伏气温病,Latent warm diseases,,伏邪温病
疫病,Epidemic pestilence,,瘟疫；疫疠
风温病,Wind pestilence,Wind febrile disorders; Wind pestilence with lung heat,风温；风温肺热病
春温,Spring pestilence,Spring febrile disorder; Spring pestilence disease,春温病；春瘟病
暑温,Summer heat pestilence,Summer heat febrile disorders; Summer heat pestilence disorders,暑温病；暑瘟病
🗎温,Dampness pestilence,Dampness febrile disorders; Dampness pestilence disorders,"🗎瘟；🗎温病；
🗎瘟病"
伏暑,Latent summer heat pestilence,,
冬温,Winter pestilence,Winter febrile disorders; Winter pestilence disorders,冬瘟；冬温病；冬瘟病
风疹,Wind rashes,,风痧；小儿风痧
水痘,Chicken pox,,小儿水痘
瘟毒,Pestilence toxin,Pestilence eruptions,温毒；温毒发斑；瘟毒发斑
大头瘟,Swollen face,,
软脚瘟,Flaccid foot pestilence,,
肝热病,Liver heat disease,,
肝瘟,Liver pestilence,Jaundice disorder; Pestilential jaundice; Acute jaundice,瘟黄；疫黄；急黄
痧病,Bumpy sand-like exanthem,,痧气；痧胀
🗎热痢,Damp heat dysentery,Sudden dysentery,暴痢
疫毒痢,Epidemic toxin dysentery,,
噤口痢,Food-denying dysentery,,
寒🗎痢,Cold dampness dysentery,,
休息痢,Intermittent dysentery,,
奇恒痢,Critical dysentery,Erratic dysentery,
瘴病,Miasmatic disorder,,瘴气病；瘴毒病
疟疾,Malaria,Alternating fever and chills disorder,
正疟,Regular malaria,Quartan malaria,间日疟；三日疟
瘴疟,Miasmic malaria,Epidemic malaria,疫疟
久疟,Chronic malaria,,劳疟
疟母,Mother-of-malaria,,
痨病,Tuberculosis,Fatigue consumption disorder,劳瘵
肺痨,Lung tuberculosis,,
脑痨,Brain tuberculosis,,
乳痨,Breast tuberculosis,,
肝痨,Liver tuberculosis,,
肾痨,Kidney tuberculosis,,
痨淋,Urinary bladder tuberculosis,,
肠痨,Intestinal tuberculosis,,
流痰,Flowing phlegm,Flowing phlegm disorder; Bone and joint tuberculosis disorder; Bone tuberculosis,骨痨；穿骨流注
附骨痰,Bone phlegm,,
龟背痰,Tortoise-back phlegm,Tuberculous spondylitis,
蜣螂蛀,Dung beetle-shaped joints,,
腕疽,Carbuncle of the wrist,,
鹤膝风,Tuberculosis of the knee joint (crane’s- knee wind),Crane’s-knee phlegm,鹤膝痰
穿拐痰,Carbuncle of the ankle joint,,
足跟疽,Carbuncle of the heel,,
鼠疫,Bubonic plague,,
疫霍乱,Epidemic cholera,Severe vomiting and diarrhoea disorder,时疫霍乱
干霍乱,Dry cholera,Abdominal colic,搅肠痧；斑痧；乌痧胀
🗎霍乱,Wet cholera,,
麻疹,Measles,,小儿麻疹
烂喉丹痧,Ulcerated throat with red exanthem,Scarlet fever,小儿烂喉丹痧；丹痧；喉痧；烂 喉痧；疫喉痧
白喉,Diphtheria,,
顿咳,Whooping cough,Pertussis,百日咳；小儿顿嗽；天哮；鹭鸶咳
痄腮,Mumps,Parotitis,小儿痄腮；蛤蟆瘟；鸬鹚瘟；含腮疮；腮颌发
疫斑热,Epidemic haemorrhagic fever,,
稻瘟病,Leptospirosis,,钩端螺旋体病
沙虱病,Scrub typhus,,恙虫病
炭疽,Anthrax,,
麻风病,Leprosy,,大麻风；疠风
天花,Smallpox,,痘疹；痘疮；天行时痘
性传播类病,Sexually transmitted diseases,Venereal diseases,性病
梅毒,Syphilis,,
杨梅疮,Syphilitic skin lesion,,杨梅疹
杨梅结毒,Advanced syphilis,,
梅毒攻心,Syphilis affecting the heart,,
梅毒致痿,Syphilis affecting the spinal cord,,
胎传梅毒,Congenital syphilis,,
下疳,Chancroid,,
横痃,Buboes,,鱼口；便毒
花柳毒淋,Gonorrhea,,
寄生虫病类,Parasitic diseases,Parasitic disorder,
蛔虫病,Ascariasis,Paediatric ascariasis,小儿蛔虫病
绦虫病,Taeniasis,Paediatric taeniasis,寸白虫病；小儿绦虫病
囊虫病,Cysticercosis,Paediatric cysticercosis,小儿囊虫病
钩虫病,Ancylostomiasis,Paediatric ancylostomiasis,小儿钩虫病；黄胖病；黄肿病
蛲虫病,Enterobiasis,Paediatric pinworm infection,小儿蛲虫病
姜片虫病,Fasciolopsiasis,paediatric fasciolopsiasis,小儿姜片虫病；赤虫病；扁虫病
丝虫病,Filariasis,Paediatric filariasis,小儿丝虫病
肺吸虫病,Paragonimiasis,,肺虫病
鞭虫病,Trichuriasis,Whipworm infection,
肝吸虫病,Fasciolosis,,肝虫病
包虫病,Echinococcosis,,
血吸虫病,Schistosomiasis,Snail fever; Paediatric schistosomiasis,小儿血吸虫病；蛊虫病
晚期血吸虫病,Advanced schistosomiasis,Advanced snail fever,晚期蛊虫病
中毒及意外伤害类,Poisoning and accidents/ unintentional injuries,,
药毒类病,Drug poisoning,,药物中毒
食毒类病,Food poisoning,,食物中毒
鱼蟹类中毒,Fish and crab poisoning,,
河豚中毒,Puffer fish poisoning,,
毒蕈中毒,Mushroom poisoning,,
菜乌紫病,Pickles cyanosis,,
虫螫伤类病,Insect stings,Insect stings/bites,虫螫；恶虫叮咬伤
蜈蚣螫伤,Centipede bite,,
蜂螫伤,Bee/wasp stings,,
蝎螫伤,Scorpion sting,,
蜘蛛咬伤,Spider bites,,
松毛虫伤,Pine caterpillar injuries,,
蠼螋伤,Rove beetle injuries,,
射工伤,Caterpillar stings,,
蚂蝗咬伤,Leech bites,,
水毒,Cutaneous schistosomiasis,,
野屎风,Ancylostoma dermatitis,,粪毒块
创伤类病,Traumatic injuries,,
骨折病,Fracture,,
脱位病,Dislocation/ subluxation,,
伤筋病,Tendon injuries,,筋伤
筋出槽,Tendon dislocation/ subluxation,,
骨错缝,Bone/joint dislocation/ subluxation,,
落枕,Neck stiffness,,
项痹,Cervical spondylosis,Neck pain,颈椎病
漏肩风,Frozen shoulder,Adhesive capsulitis of shoulder,冻结肩；冷凝肩；肩周炎；肩痹
损伤内证病,Internal injuries,,
虫兽咬伤病,Insect or animal bites,,
毒蛇咬伤,Venomous snake bites,,
狂犬病,Rabies,,
破伤风,Tetanus,Tetanus from incised wound,伤痉；金疮痉
水火烫伤,Burns and scalds,,
冻疮,Frostbite,,
冻僵,Systemic hypothermia,,
卒死,Sudden death,,
脏腑病及相关病类,Diseases of zang–fu organs and associated meridians,Organ system disorders,脏腑病
心系病,Heart system disorders,,
胸痹心痛,Chest bi-impediment / cardiac pain,,胸痹
真心痛,True cardiac pain,,
卒心痛,Sudden cardiac pain,,
厥心痛,Cardiac pain with cold limbs,,
心痹,Heart bi-impediment,,
心瘅,Heart heat,,
虚眩,Dizziness due to deficiency,,
心厥,Cardiac syncope,,
心水病,Congestive heart failure,,心水；心衰
惊悸病,Fright palpitations,Fright palpitation disorder,
怔忡病,Fearful throbbing,Fearful throbbing disorder,
百合病,Lily bulb disease,Lily disorder,
不寐,Insomnia,Insomnia disorder Sleeplessness,不寐病
梦魇,Nightmare,,
多寐病,Hypersomnia,Somnolence disorder; Hypersomnolence,嗜睡症
失志,Manic depression/ bipolar disorder,,
痴呆病,Dementia,Dementia disorder; Aged dementia disorders,
痫病,Epilepsy,,
癫病,Depressive psychosis,,
狂病,Manic psychosis,Manic disorder,
花癫,Sexual obsessions,,花痴
邪祟病,Paranoia disorders,,
肝系病,Liver system diseases,Liver system disorders,
风眩,Wind dizziness,,
痉病,Tetany,Tetanus,痉证
外感痉病,Convulsive disorders upon exposure to exogenous pathogens,Convulsive disorder; Convulsion disorder,
虚痉,Convulsions due to deficiency,,
黄疸病,Jaundice,Jaundice disorder,
阳黄病,Yang jaundice,Jaundice disorder,
阴黄病,Yin jaundice,Jaundice disorder,
血疸,Haemolytic jaundice,,
蚕豆黄,Favism,,
肝黄,Liver jaundice,,
肝胀,Liver distension,Liver distension disorder; Liver fixity,肝着；肝著
肝癖,Liver stuffiness,,肝痞
肝痈,Liver abscess,Liver abscess disorder,
肝衰病,Liver failure,,
胆胀,Gallbladder distention,Gallbladder distension disorder,
胆瘅,Cholecystitis,,
胆疸,Cholestasis,,
胆石病,Cholelithiasis,,
蛔厥,Biliary ascariasis,,胆蛔病
臌胀病,Tympanites,Tympanites disorder,臌胀；鼓胀；蛊胀；单腹胀
酒臌,Alcoholic tympanites,,酒鼓
水臌,Water tympanites,,水鼓
气臌,Qi tympanites,,气鼓
血臌,Blood tympanites,,血鼓
虫臌,Parasitic tympanites,,
脾系病,Spleen system diseases,Spleen system disorders,
呃逆病,Hiccups,,
反胃病,Stomach reflux,,胃反
噎膈病,Dysphagia,Dysphagia disorder,噎膈
卒腹痛,Sudden abdominal pain,,
气腹痛,Qi stagnation-induced abdominal pain,,
腹胀病,Abdominal distension,,
便秘病,Constipation,Constipation disorder,便闭
脾约,Splenic constipation,,
泄泻病,Diarrhoea,Diarrhoea disorder,
暴泻,Fulminant diarrhoea,Acute diarrhoea,
久泄,Chronic diarrhoea,,
飧泄,Diarrhoea with undigested food,,
五更泻,Early morning (Cock’s crow) diarrhoea,,
大瘕泄,Dysentery,Dysentery disorder,
类霍乱,Cholera-like disorder,,
食亦,Excessive hunger,,
厌食病,Loss of appetite,,厌食
伤食,Food damage,,
饥疝,Hunger-related abdominal pain,,
谷劳,Fatigue after eating food,,
胃络痛,Gastric pain,Stomach ache disorder,
胃痞病,Gastric stuffiness,Gastric fullness,胃痞；痞满
胃胀病,Gastric distension,,胃胀
胃缓,Stomach prolapse,,
胃疡,Gastric ulcers,,
胃饮,Fluid retention in the stomach,,
胃石病,Gastroliths,Stomach stones,
胃瘅,Acute gastritis,,
脾胀,Spleen distension,,
