WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
1490.0,Flowing phlegm,流痰,liú tán,"Flowing phlegm disorder
Bone and joint tuberculosis disorder
Bone tuberculosis","A condition initially characterized by dull soreness and pain upon physical exertion, followed by local swelling, pain and discharge of thin, clear pus or pus that resembles rotten cotton threads, delayed healing, and formation of a sinus tract. If the spine is affected, limb rigidity, impaired movement
or paralysis may be present. This condition is known as osteoarticular tuberculosis in modern medicine. Often occurs when Mycobacterium tuberculosis and turbid phlegm flow into bones and joints due to congenital kidney deficiency coupled with contraction of Mycobacterium tuberculosis.",骨痨；穿骨流注
1491.0,Bone phlegm,附骨痰,fù gǔ tán,null,"Characterized by hip joint swelling and pain, difficulty walking or limping, discharge of thin, clear pus or pus that resembles rotten cotton threads, formation of a sinus tract, and delayed healing. Often occurs when Mycobacterium tuberculosis affects the hip joint.",null
1492.0,Tortoise-back phlegm,龟背痰,guī bèi tán,Tuberculous spondylitis,Characterized by swelling and pain of the lower thoracic and upper lumbar vertebrae with an abnormally excessive convex kyphotic curvature of the spine that resembles the back of a tortoise. Often occurs when Mycobacterium tuberculosis affects the spine and damages the bones and sinews.,null
1493.0,Deficiency phlegm at Shenshu (BL 23),肾俞虚痰,shèn shū xū tán,null,"Characterized by an insidious onset, long- continued pus formation, discharge of thin, clear pus containing rotten cotton thread-like substance, delayed healing, and damage to the sinews or bones. It manifests as tuberculous
abscess or sinus around the point Shenshu (BL 23).",null
1494.0,Fistula at Shenshu (BL 23),肾俞漏,shèn shū lòu,null,Characterized by sinus around the point Shenshu (BL 23) upon rupture of cold abscess in spinal (lumbar vertebrae) tuberculosis.,null
1495.0,Dung beetle-shaped joints,蜣螂蛀,qiāng láng zhù,null,"Characterized by swollen (without redness, pain or hot sensation) metacarpophalangeal joints that resemble a dung beetle, impaired flexion and extension, and a gradual sensation of numbness or pain. It is known as tuberculosis of the metacarpophalangeal joints in modern medicine. This condition often results from deficiency- related phlegm dampness and prolonged cold retention.",null
1496.0,Carbuncle of the wrist,腕疽,wàn jū,null,Characterized by tuberculous arthritis of the wrist.,null
1497.0,Tuberculosis of the knee joint (crane’s- knee wind),鹤膝风,hè xī fēng,Crane’s-knee phlegm,"Characterized by swelling of the knee joint and the wasting of quadriceps muscle, resembling a crane’s knee.",鹤膝痰
1498.0,Carbuncle of the ankle joint,穿拐痰,chuān guǎi tán,null,Characterized by tuberculous arthritis of ankle joint. This condition often results from downward flow of damp heat along the pathways of the three foot yin meridians.,null
1499.0,Carbuncle of the heel,足跟疽,zú gēn jū,null,Characterized by tuberculosis of the heel. This condition often results from downward flow of damp heat to the zang–fu organs.,null
1500.0,Bubonic plague,鼠疫,shǔ yì,null,"A fulminating infectious disease characterized by a sudden onset, high fever, bleeding, and swelling of lymph nodes. Alternatively, coughing with phlegm or haemoptysis may be present. In severe cases, patients may faint or die. This condition occurs when the bacterium Yersinia pestis enters the lung or bloodstream following flea bites or handling an infected animal.",null
1501.0,Epidemic cholera,疫霍乱,yì huò luàn,Severe vomiting and diarrhoea disorder,"A fulminating infectious disease characterized by sudden onset of large amounts of watery (like rice water) diarrhoea, sunken eyes and leg cramps. In severe cases, patient may faint or die. It is more commonly seen in summer or autumn.
Contributing factors may include ingestion of contaminated food and infection with the bacterium Vibrio cholerae. These factors may
damage the stomach and intestines and result in severe exhaustion of qi and bodily fluids.",时疫霍乱
1502.0,Dry cholera,干霍乱,gàn huò luàn,Abdominal colic,"An infectious disease characterized by sudden onset of epigastric discomfort, abdominal colic, and an urge to but failure to vomit or defaecate. In severe cases, bluish complexion or generalized dark purple patches may be present. Contributing factors may include infection with the bacterium Vibrio cholerae or cold retention in the stomach or intestines. These factors may cause qi to stagnate in the chest and abdomen, and obstruct the qi flow of the stomach and intestines.",搅肠痧；斑痧；乌痧胀
1503.0,Wet cholera,🗎霍乱,shī huò luàn,null,"An infectious disease characterized by sudden onset of abdominal colic, severe vomiting and diarrhoea, and leg cramps. In severe cases, sunken eyes, dry, wrinkled skin, and cold hands/feet.
Often occurs when people eat too much cold food, summer heat and dampness or the bacterium Vibrio cholerae directly affects the stomach and intestines.",null
1504.0,Measles,麻疹,má zhěn,null,"A condition characterized by fever, cough, runny nose, watery, inflamed eyes, presence of small white spots inside the mouth, and generalized maculopapular rash, followed by desquamation and pigmentation. In severe cases, complications involving the lung, throat, heart and liver may be present, which are often seen in infants. Often results from toxin (measles virus) affects the lung and spleen and spreads to the bloodstream and skin.",小儿麻疹
1505.0,Ulcerated throat with red exanthem,烂喉丹痧,làn hóu dān shā,Scarlet fever,"Characterized by fever, sore, ulcerative and swollen throat, characteristic diffuse red skin rashes, a “strawberry”tongue with a spreading pattern and desquamating process. In severe cases, a high- grade fever, unconsciousness and shock may be present. Often affects children and occurs when epidemic warm heat affects the throat and skin through the mouth, nose or skin lesion.",小儿烂喉丹痧；丹痧；喉痧；烂 喉痧；疫喉痧
1506.0,Diphtheria,白喉,bái hóu,null,"Characterized by fever, sore throat, red, swollen tonsils, the formation of white false membrane attached firmly to the pharynx, larynx and nose, difficulty swallowing, difficulty breathing, rapid breathing, restlessness, palpitations and shock. Often affects children in autumn and winter and occurs when bacterium Corynebacterium diphtheria affects the throat and consumes yin fluids.",null
1507.0,Whooping cough,顿咳,dùn ké,Pertussis,"A highly contagious disease affecting children. Initially, symptoms are typically similar to those of a common cold. This is then followed by a paroxysmal cough with a high-pitched whoop sound or gasp. Vomiting of saliva or phlegm may also occur. Often occurs when the bacterium Bordetella pertussis attacks the lung, obstructs the airway and causes lung qi to ascend.",百日咳；小儿顿嗽；天哮；鹭鸶咳
1508.0,Mumps,痄腮,zhà sāi,Parotitis,"An epidemic disease characterized by fever  and diffuse swelling and pain on one or both sides of the parotid glands. In severe cases, unconsciousness, convulsions and painful, swollen testis. Often affects children and results from retained phlegm fire in the cheek following wind heat toxin entering the body via the mouth and nose.",小儿痄腮；蛤蟆瘟；鸬鹚瘟；含腮疮；腮颌发
1509.0,Epidemic haemorrhagic fever,疫斑热,yì bān rè,null,"An infectious disease characterized by sudden onset of high fever, macular eruption, headache, pain in the eye socket, lower back painlower back pain, abdominal pain, muscle/joint pain, and redness of the eyes, throat, cheeks and chest.
Patients may experience hypotension, shock  and oliguria followed by polyuria. Contributing factors may include contact with rodents or field work. The bacterium Yersinia pestis may enter the bloodstream and damage the heart and kidney.",null
1510.0,Leptospirosis,稻瘟病,dào wēn bìng,null,"An infectious disease characterized by sudden onset of high fever, headache, muscle pain (especially the lower leg), eye redness and swollen groin lymph nodes. Associated symptoms include unconsciousness, convulsions, jaundice, haemorrhage, hepatosplenomegaly or hepatic/ renal insufficiency. It is commonly seen in summer or autumn. This condition often results from contact with water contaminated with the corkscrew-shaped bacteria Leptospira sp. The bacterium enters the body via skin, mucous membrane or digestive tract to affect meridians or zang–fu organs and damage the Ying nutrients and blood.",钩端螺旋体病
1511.0,Scrub typhus,沙虱病,shā shī bìng,null,"An infectious form of typhus caused by the intracellular parasitic bacterium Orientia tsutsugamushi. The bite of an infected mite may not cause pain but a prickly feeling. However, after two or three days, individuals may experience chills, fever, skin rashes, ulcerations and scabbing. Often results from the bite of trombiculid mite.
The toxin of the mite then damages the blood in the localized area.",恙虫病
1512.0,Anthrax,炭疽,tàn jū,null,"An infectious disease characterized by skin lesion that eventually forms an ulcer with an eschar and surrounding swelling. This condition may also affect the lungs, intestines, brain and other parts of the body. The bacterium Bacillus anthracis may enter the body via the skin, mouth or nose and cause qi and blood to stagnate. Often results from contact with infected animals, handling infectious animal products or ingestion of undercooked foods of (infectious) animal origin.",null
1513.0,Leprosy,麻风病,má fēng bìng,null,"A long-term infectious disease characterized by generalized numbness and skin lesions with purple-red patches that resemble snake skin. Alternatively, nodules or raised bumps may be present. Often results from close contact with patients infected with leprosy. The bacterium Mycobacterium leprae enters the bloodstream
and damages the skin, meridians and the five zang organs.",大麻风；疠风
1514.0,Smallpox,天花,tiān huā,null,"An infectious disease caused by the variola virus and often affects children. It is characterized  by chills, fever and skin rashes, papules, sores,
pustules and scabs. The latter may fall off, leaving marks on the skin. This condition usually passes through six stages: fever, early rashes, raised bumps, pustular rashes, scabs and falling off of the scabs.",痘疹；痘疮；天行时痘
1515.0,Sexually transmitted diseases,性传播类病,xìng chuán bō lèi bìng,Venereal diseases,Sexually transmitted diseases (STDs) are infections that are spread through sexual contact.,性病
1516.0,Syphilis,梅毒,méi dú,null,"A sexually transmitted disease characterized  by sores on the genitals, vagina or skin, bone pain and dull expression. Often occurs when the bacterium Treponema pallidum enters the skin, muscles, bones, zang–fu organs, meridians or even the brain.",null
1517.0,Syphilitic skin lesion,杨梅疮,yáng méi chuāng,null,"Highly contagious red skin lesions, sores, papules or nodules seen in patients with syphilis. They often occur when syphilis affects the skin.",杨梅疹
1518.0,Advanced syphilis,杨梅结毒,yáng méi jié dú,null,"Late-stage syphilis, characterized by nodules, open sores, ulcers on the gum or atrophic scars on the head, face and four extremities. They often occur when syphilis affects the bones, joints and zang–fu organs.",null
1519.0,Syphilis affecting the heart,梅毒攻心,méi dú gōng xīn,null,"Late-stage syphilis characterized by palpitations, chest pain, heart murmurs and tremor. In severe cases, heart failure may occur. They often occur when syphilis affects the heart and blood vessels.",null
1520.0,Syphilis affecting the spinal cord,梅毒致痿,méi dú zhì wěi,null,"Late-stage syphilis characterized by shooting (electric shock-like) pain, an abnormal or disturbed sensation and unsteady gait. Often occurs when syphilis affects the spinal cord.",null
1521.0,Congenital syphilis,胎传梅毒,tāi chuán méi dú,null,"A congenital condition characterized by neonatal failure to gain weight, dark red skin with eruptions of macular rashes, and petechial lesions. It occurs when a mother with syphilis passes the infection on to her baby during pregnancy.",null
1522.0,Chancroid,下疳,xià gān,null,"A sexually transmitted disease characterized by round or oval-shaped painful, elevated sores on the shaft of penis, glans penis, prepuce, labia minora or vagina, coupled with palpable painless, cartilage-like nodules. Often occurs when Haemophilus ducreyi enters the skin and affects the genitalia and anus.",null
1523.0,Buboes,横痃,héng xuán,null,"A sexually transmitted disease characterized by swelling of the lymph nodes in the groin. It appears as small as an almond at first and then becomes  a pebble-sized, fish mouth-shaped blister, followed by pain, redness, a burning sensation and discharge of pus. They often occur when sexually transmitted infections affect the groin.",鱼口；便毒
1524.0,Gonorrhea,花柳毒淋,huā liǔ dú lìn,null,"A sexually transmitted disease characterized  by difficult, frequent and painful urination, red, swollen urethral meatus and discharge of pus or blood. This condition results from sexual contact with an infected person. Then, the bacterium
Neisseria gonorrhoeae affects the urethra, urinary bladder and essence chamber.",null
1525.0,Parasitic diseases,寄生虫病类,jì shēng chóng bìng lèi,Parasitic disorder,Parasitic diseases are infectious diseases caused or transmitted by a parasite.,null
1526.0,Ascariasis,蛔虫病,huí chóng bìng,Paediatric ascariasis,"A parasitic condition mainly found in children and characterized by a poor appetite, periumbilical pain, underweight, swelling of the abdomen, and worms in stools. The roundworm may infest the bile ducts, pancreas or appendix and cause severe complications. The parasite is acquired through ingestion of embryonated eggs in contaminated food. After the eggs are swallowed, they live and remain in the intestines, where they hatch into larvae. Over time, they transform into damp heat to damage the spleen and stomach and absorb nutrients.",小儿蛔虫病
1527.0,Taeniasis,绦虫病,tāo chóng bìng,Paediatric taeniasis,"A parasitic condition contracted after eating undercooked pork, beef or fish infected with tapeworms belonging to the genus Taenia. It is mainly found in children and characterized by abdominal pain, diarrhoea, weight loss, or
presence of tapeworms or larvae in the faeces. The tapeworms remain in the small intestine, obstruct spleen qi and prevent the absorption of nutrients.",寸白虫病；小儿绦虫病
1528.0,Cysticercosis,囊虫病,náng chóng bìng,Paediatric cysticercosis,"A parasitic condition caused by eating food or drinking water contaminated by tapeworm eggs from human faeces. It is mainly found in children and characterized by palpable subcutaneous solid lumps, seizures, visual impairment and presence of tapeworms. The tapeworm eggs enter the intestine and develop into larvae, which binds with phlegm turbidity and affect the skin, brain and eyes.",小儿囊虫病
1529.0,Ancylostomiasis,钩虫病,gōu chóng bìng,Paediatric ancylostomiasis,"A parasitic condition caused by infection with Ancylostoma sp. hookworms. It is characterized by fast hunger after eating food, fatigue, sallow skin, oedema and presence of hookworm larvae in the stools. Alternatively, anaemia or abnormal food preference may be present. In children,  this condition may cause poor growth and development. The hookworms enter the body through contact with contaminated faeces or soil, remain in the small intestine and bind with damp heat to consume qi and blood.",小儿钩虫病；黄胖病；黄肿病
1530.0,Enterobiasis,蛲虫病,náo chóng bìng,Paediatric pinworm infection,"A parasitic condition caused by ingesting the  eggs of pinworms. It is mainly found in children and characterized by severe itching in the anal  or vaginal area. Secondary anal erosion, eczema or bleeding may develop in the areas that are constantly scratched. This condition is usually first identified when live, thin, white pinworms are noticed in the faeces.",小儿蛲虫病
1531.0,Fasciolopsiasis,姜片虫病,jiāng piàn chóng bìng,paediatric fasciolopsiasis,"A parasitic condition caused by infection with the intestinal fluke Fasciolopsis buski. It is characterized by presence of flukes or their eggs in the faeces, abdominal pain, diarrhoea, a sallow complexion and weight loss. In children, this condition may cause poor growth and development. It occurs when people
eat aquatic plants that have Fasciolopsis sp. encysted on them, which remain in the small intestine to obstruct the flow of qi and affect the transportation and transformation of the spleen.",小儿姜片虫病；赤虫病；扁虫病
1532.0,Filariasis,丝虫病,sī chóng bìng,Paediatric filariasis,"A parasitic condition mainly found in children caused by an infection with roundworms of the Filarioidea family. It is characterized by fever,   skin redness, oedema and burning pain in the lower extremities, testicular pain and swelling, turbid urine, scrotal swelling and identification  of microfilariae. This condition is often spread by blood-feeding black flies and mosquitoes. As a result, the microfilariae enter the body and causes damp heat to affect the spleen and kidney.",小儿丝虫病
1533.0,Paragonimiasis,肺吸虫病,fèi xī chóng bìng,null,"A parasitic condition caused by an infection with the lung fluke. It is characterized by cough, chest pain, and expectoration of discoloured sputum containing clumps of eggs. Epilepsy, paralysis or subcutaneous nodules may also be present. This condition often results from ingestion of river crabs, crayfish or amphibious crabs contaminated with larvae of Paragonimiasis sp. As a result, the adult worms remain in the lung or affect the brain or subcutaneous tissues.",肺虫病
1534.0,Trichuriasis,鞭虫病,biān chóng bìng,Whipworm infection,"A parasitic condition caused by an infection with the parasitic worm Trichuris trichiura (whipworm). It is characterized by lassitude, a poor appetite, abdominal pain, diarrhoea,
anaemia and identification of whipworm eggs. In children, this condition may cause poor growth and development. It is often caused by ingestion of food, vegetable and water contaminated  with whipworm eggs. As a result, the whipworm
remains in the intestinal wall and consumes qi and blood.",null
1535.0,Fasciolosis,肝吸虫病,gān xī chóng bìng,null,"A parasitic condition caused by Fasciola hepatica. It is characterized by pain in the subcostal region, abdominal pain, diarrhoea, a poor appetite, jaundice, masses in the subcostal region and  the presence of the eggs of the liver fluke. This condition is often contracted by ingestion of undercooked fish or shrimps. The liver flukes lodge in the bile duct and bind with damp heat to affect the normal functioning of the liver and gallbladder.",肝虫病
1536.0,Echinococcosis,包虫病,bāo chóng bìng,null,"A zoonotic parasitosis contracted by infection with the eggs of the parasites (hydatid cyst). It is characterized by painless, movable nodules or cysts with normal skin colour. Associated
symptoms may include fever, cough, haemoptysis, abdominal pain and bloody stools. The nodules occur when hydatid cysts remain in the liver, lung and intestines and bind with phlegm, stasis and water dampness.",null
1537.0,Schistosomiasis,血吸虫病,xuè xī chóng bìng,"Snail fever
Paediatric schistosomiasis","A parasitic condition caused by schistosomes. It is characterized by skin itching, cough, abdominal pain, diarrhoea, masses in the subcostal region, weight loss, ascites, and presence of schistosome eggs in stools. This condition is contracted by contact with fresh water organisms contaminated with the parasites. Once the parasites enter the body, they may affect the flow of qi, blood and body fluids in the lung, intestines or liver.",小儿血吸虫病；蛊虫病
1538.0,Advanced schistosomiasis,晚期血吸虫病,wǎn qī xuè xī chóng bìng,Advanced snail fever,"Late-stage schistosomiasis characterized by extreme weight loss, positive finding of the rectal mucosa biopsy, ascites, varicose abdominal veins, liver cirrhosis and splenomegaly. Often occurs when prolonged schistosomiasis causes qi and blood to stagnate in the liver and intestines.",晚期蛊虫病
1539.0,Poisoning and accidents/ unintentional injuries,中毒及意外伤害类,zhòng dú jí yì wài shāng hài lèi,null,"Acute/chronic poisoning or injuries due to physical, chemical accidents.",null
1540.0,Drug poisoning,药毒类病,yào dú lèi bìng,null,"A group of disorders caused by overdose, incorrect use, administration of inappropriately prepared or contaminated drugs or incompatible drug combination. Examples include gelsemium poisoning, Tripterygium wilfordii poisoning, aconite poisoning, almond poisoning, croton poisoning and arsenic poisoning.",药物中毒
1541.0,Food poisoning,食毒类病,shí dú lèi bìng,null,A group of disorders caused by ingestion of toxic/ contaminated food or inappropriately processed food.,食物中毒
1542.0,Fish and crab poisoning,鱼蟹类中毒,yú xiè lèi zhòng dú,null,"Food poisoning caused by ingestion of contaminated or inappropriately cooked fish or crab. It is characterized by sudden cardiac/ abdominal tightness and fullness, restlessness, vomiting, abdominal pain, and diarrhoea.
Associated symptoms include dizziness, facial puffiness, red skin rashes and itching. In severe cases, palpitations, shortness of breath, rapid breathing or death may occur.",null
1543.0,Puffer fish poisoning,河豚中毒,hé tún zhòng dú,null,"Food poisoning caused by ingestion of inappropriately cooked puffer fish. It is characterized by sudden vomiting, abdominal pain, diarrhoea and bloody stools, followed by a tingling sensation in the lips, tongue and extremities, eyelid ptosis, limb weakness/ paralysis, and cardiac arrhythmias. In severe cases, respiratory or circulatory failure may be present.",null
1544.0,Mushroom poisoning,毒蕈中毒,dú xùn zhòng dú,null,"Food poisoning caused by ingestion of toxic substances present in mushrooms. Symptoms of mushroom poisoning may vary from headache, vomiting, abdominal pain, diarrhoea, jaundice, drowsiness and visual hallucination to mental confusion or sudden death, depending on how severe the toxin affects the gastrointestinal tract, heart, brain, liver or kidney.",null
1545.0,Pickles cyanosis,菜乌紫病,cài wū zǐ bìng,null,Food poisoning caused by ingestion of newly pickled vegetables.,null
1546.0,Insect stings,虫螫伤类病,chóng shì shāng lèi bìng,Insect stings/bites,"A group of disorders caused by insect stings and characterized by local itching, pain, redness and rashes/papulae.",虫螫；恶虫叮咬伤
1547.0,Centipede bite,蜈蚣螫伤,wú gōng shì shāng,null,"An injury resulting from the action of a centipede’s forcipules, pincer-like appendages that pierce  the skin and inject venom into the wound. It is characterized by stasis spots, redness, swelling and pain and swelling in the area of the bite.
Associated symptoms may include swollen, painful lymph nodes in the regions of the bitten limb, chills and fever.",null
1548.0,Bee/wasp stings,蜂螫伤,fēng shì shāng,null,"Bee/wasp stings may cause the venom or toxin to enter the body or remain in the skin. Individuals may experience pricking pain, scratching pain,   a burning sensation, skin redness and oedema, papules or blisters at the sting sites. In severe cases, fever, dizziness, nausea, vomiting and low blood pressure may be present.",null
1549.0,Scorpion sting,蝎螫伤,xiē shì shāng,null,"Scorpion sting may cause the venom or toxin to enter the body. Individuals may experience severe pain, scratching pain, a burning sensation, skin redness/swelling or blisters as the bite sites. In severe cases, red streaks on the skin, enlarged lymph nodes, chills, fever, nausea, vomiting or respiratory paralysis may be present.",null
1550.0,Spider bites,蜘蛛咬伤,zhī zhū yǎo shāng,null,"Spider bites may cause the venom to enter the body. Individuals may experience pricking pain, itching or oedema at the bite sites, accompanied by abdominal spasm/pain, muscle rigidity, and eyelid ptosis. Chills, vomiting, salivation or difficulty breathing may also be present.",null
1551.0,Pine caterpillar injuries,松毛虫伤,sōng máo chóng shāng,null,"Exposure to toxic hairs of pine caterpillars may cause intense itching, redness, swelling or blisters at the affected sites. Individuals may also experience joint redness, swelling, pain and restricted movement.",null
1552.0,Rove beetle injuries,蠼螋伤,qú sōu shāng,null,"Exposure to pederin, a strong toxin in the blood of rove beetle, may cause a burning pain, itching, linear red spots or pustules.",null
1553.0,Caterpillar stings,射工伤,shè gōng shāng,null,"Exposure to toxic hair of caterpillars may cause intense itching, redness, swelling, blisters or ulcers.",null
1554.0,Leech bites,蚂蝗咬伤,mǎ huáng yǎo shāng,null,Leech bites may cause persistent bleeding at the site of bites with mild itching and pain.,null
1555.0,Cutaneous schistosomiasis,水毒,shuǐ dú,null,Exposure to cercariae of schistosoma in water may cause itchy skin wheals or rashes that resolve spontaneously after a couple of days.,null
1556.0,Ancylostoma dermatitis,野屎风,yě shǐ fēng,null,"A condition caused by exposure to the infestation of larvae of hookworms, especially Ancylostoma braziliense, when they penetrate the skin of their host. Individuals may experience extremely itchy skin wheals or rashes between the toes or fingers that resolve spontaneously after a couple of days.",粪毒块
1557.0,Traumatic injuries,创伤类病,chuāng shāng lèi bìng,null,"Injuries caused by violent forces, metallic tools, firearms or animal bites. They vary from bone/ tendon injuries to tissue or organ ruptures.",null
1558.0,Fracture,骨折病,gǔ zhé bìng,null,A condition in which there is damage in the continuity of the bone due to external force impact or stress.,null
1559.0,Dislocation/ subluxation,脱位病,tuō wèi bìng,null,A condition caused by sudden trauma on the joint. It may cause functional impairment and failure in spontaneous reduction.,null
1560.0,Tendon injuries,伤筋病,shāng jīn bìng,null,"A group of conditions caused by damage to  the structure and function of tendons by acute trauma or chronic strain. These include tendon dislocation/subluxation, bone dislocation/ subluxation, neck stiffness, cervical spondylosis, frozen shoulder, lumbar strain and lumbar intervertebral disc herniation.",筋伤
1561.0,Tendon dislocation/ subluxation,筋出槽,jīn chū cáo,null,"A condition characterized by local pain, impaired movement, hypertonia, nodules, ropiness, and tenderness. Often occurs when indirect or chronic external force impact damages the structure, function and position of the tendons.",null
1562.0,Bone/joint dislocation/ subluxation,骨错缝,gǔ cuò fèng,null,"A condition characterized by local pain, impaired movement and palpable enhancement of motion end feel, decreased relaxation, and tenderness. Often occurs when indirect or chronic force causes the bones/joints to subluxate.",null
1563.0,Neck stiffness,落枕,lào zhěn,null,"A condition characterized by pain or soreness that limits neck movement. Often results from inappropriate pillow height, poor sleep posture or external contraction of wind cold.",null
1564.0,Cervical spondylosis,项痹,xiàng bì,Neck pain,"Characterized by neck rigidity, stiffness and impaired movement, and soreness and pain in the neck, shoulder and arm. Associated symptoms may include dizziness, headache, arm numbness, muscular atrophy, leg weakness, unstable walking, disturbed bladder/bowel functions and paralysis. Often occurs when tendon/bone injury or degenerative changes irritate or compress the spinal cord, nerves and vessels. Contributing factors include ageing, chronic strain/injury, and contraction of external pathogenic factors.",颈椎病
1565.0,Frozen shoulder,漏肩风,lòu jiān fēng,Adhesive capsulitis of shoulder,"A condition characterized by shoulder soreness, heaviness and pain that aggravate at night,  and impaired movement of the affected side.
Alternatively, atrophy of shoulder muscles may be present. Often results from chronic strain, contraction of external wind, cold or dampness, trauma or degenerative changes.",冻结肩；冷凝肩；肩周炎；肩痹
1566.0,Internal injuries,损伤内证病,sǔn shāng nèi zhèng bìng,null,"A group of disorders caused by damage to bones, tendons, qi, blood, meridians and zang–fu organs by direct or indirect trauma on the body. These include trauma of the head, chest and abdomen, coupled with traumatic bleeding, pain, fever, fainting, urine retention, flaccidity, numbness, dizziness, panting and cough.",null
1567.0,Insect or animal bites,虫兽咬伤病,chóng shòu yǎo shāng bìng,null,"A group of injuries caused by snakes, dogs or other animals. The toxins from the bites enter the bloodstream and may cause localized redness, swelling, pain or numbness, accompanied by mild or severe systemic symptoms.",null
1568.0,Venomous snake bites,毒蛇咬伤,dú shé yǎo shāng,null,"An injury caused by the bite of a venomous snake. The toxins may enter the Ying nutrients and blood and affect the zang–fu organs, resulting in chills, fever, nausea, vomiting, headache and dizziness. In severe cases, individuals may experience bleeding, loss of consciousness and convulsions.",null
1569.0,Rabies,狂犬病,kuáng quǎn bìng,null,"Characterized by restlessness, aversion to wind, hydrophobia, photophobia and spasms/ convulsions. In severe cases, agitation, loss of
consciousness, paralysis or death may occur. This condition can affect humans and other mammals. It is caused by bites from infected dogs. The toxin then enters the bloodstream and triggers the liver wind.",null
1570.0,Tetanus,破伤风,pò shāng fēng,Tetanus from incised wound,"Characterized by muscle spasm, paroxysmal convulsions, trismus and difficulty breathing. Often occurs when pathogenic wind toxin enters the body through a puncture wound.",伤痉；金疮痉
1571.0,Burns and scalds,水火烫伤,shuǐ huǒ tàng shāng,null,"Damage to the skin by heat: a burn is caused by dry heat such as fire, whereas a scald is caused by something wet, such as hot water or steam. In addition to skin damage (redness, swelling, pain, blisters or scabs), fire/heat may affect the zang– fu organs, resulting in fever, restlessness, a dry mouth, and yellow urine. In severe cases, loss of consciousness and delirium may be present.",null
1572.0,Frostbite,冻疮,dòng chuāng,null,"Characterized by redness, swelling, a cold feeling, itching and pain upon sudden exposure to low temperatures. Areas that are usually affected include the back of the hand/foot, ears and cheeks. In severe cases, blood blisters, blue-  grey discolouration of the skin, ulceration or autoamputation may be present.",null
1573.0,Systemic hypothermia,冻僵,dòng jiāng,null,"A condition caused by exposure to cold environment for prolonged periods. Individuals may experience pale skin, a cold feeling, chills, fever, excitation, elevated blood pressure and faster heart rate. When the core body temperature has decreased below 32°C, an indifferent expression, confusion, decreased breathing/heart rate, and muscle rigidity may occur. When the core body temperature has decreased below 29°C, slow reactions, loss of consciousness, and low blood pressure may be present. When the core body temperature has decreased below 26°C, ventricular fibrillation or respiratory/cardiac arrest may occur.",null
1574.0,Sudden death,卒死,zú sǐ,null,"Characterized by unexpected critical signs that occur within six hours. These include loss of consciousness, absence of pulsations at the radial, carotid and anterior tibial arteries, respiratory/ cardiac arrest, cyanosis, pupil dilation and cold limbs. These signs are caused by separation between yin and yang.",null
1575.0,Diseases of zang–fu organs and associated meridians,脏腑病及相关病类,zàng fǔ bìng jí xiāng guān bìng lèi,Organ system disorders,"Dysfunctions of the zang–fu organs and associated meridians due to six exogenous pathogenic factors, emotional disturbance, over- exertion, water retention or stagnant blood.",脏腑病
1576.0,Heart system disorders,心系病,xīn xì bìng,null,"Dysfunctions of the heart system and meridians due to six exogenous pathogenic factors, emotional disturbance, over-exertion, water retention and stagnant blood.",null
1577.0,Chest bi-impediment / cardiac pain,胸痹心痛,xiōng bì xīn tòng,null,"Characterized by chest tightness, shortness of breath and paroxysmal cardiac pain. Often occurs when heart qi fails to pump blood and results in malnourishment of the heart.",胸痹
1578.0,True cardiac pain,真心痛,zhēn xīn tòng,null,"A critical heart condition characterized by sudden, severe or persistent cardiac pain. Associated symptoms include sweats, cold limbs, a pale face, bluish lips and an extremely feeble or regularly/ irregularly intermittent pulse. Often results from heart yang deficiency, insufficiency of qi and yin, or phlegm-stasis obstructing the heart vessels.",null
1579.0,Sudden cardiac pain,卒心痛,zú xīn tòng,null,"Characterized by sudden, stabbing cardiac pain, angina and shortness of breath. In severe cases, feeling of impending death may be present. Often results from deficiency of zang–fu organs, wind cold directly attacking the heart or phlegm stasis obstructing the heart vessels.",null
1580.0,Cardiac pain with cold limbs,厥心痛,jué xīn tòng,null,"A paroxysmal heart condition characterized by cardiac pain radiating toward the back and
aggravates upon physical exertion and alleviates after rest. Associated symptoms include upward rushing of qi to the throat, chest discomfort, repeated sighing, cold limbs and a dark-bluish facial complexion. Often results from deficiency of the five zang organs, emotional disturbance, and pathogenic factors affecting the pericardium or phlegm stasis obstructing the heart.",null
1581.0,Heart bi-impediment,心痹,xīn bì,null,"Characterized by palpitations, chest tightness, shortness of breath, and flushed cheeks. In severe cases, cardiac murmurs may be present. Often occurs when wind, cold and damp heat affect the heart.",null
1582.0,Heart heat,心瘅,xīn dān,null,"A condition characterized by fever, palpitations, chest tightness and a rapid, abrupt or regularly/ irregularly intermittent pulse. Often occurs when exogenous warm heat or warm toxin due to surgical trauma affect the endocardium or cardiac muscle.",null
1583.0,Dizziness due to deficiency,虚眩,xū xuàn,null,"Characterized by dizziness that aggravates upon postural changes, fatigue, low blood pressure and a weak pulse. It is often caused by failure of qi and blood to nourish the heart and mind due to congenital deficiency, postnatal malnutrition or over-exertion.",null
1584.0,Cardiac syncope,心厥,xīn jué,null,"A severe condition characterized by a feeble pulse, cold limbs, low blood pressure and fainting or loss of consciousness. It is often caused by heart yang deficiency and floating of yang qi.",null
